game_id,date,lane,session_game,completed_time,player,nickname,f1_b1,f1_b2,f2_b1,f2_b2,f3_b1,f3_b2,f4_b1,f4_b2,f5_b1,f5_b2,f6_b1,f6_b2,f7_b1,f7_b2,f8_b1,f8_b2,f9_b1,f9_b2,f10_b1,f10_b2,f10_b3,final_score
game-1,5/18/2026,7,1,20:47,Shelley,SHREKK,4,0,0,7,0,0,0,0,0,0,5,0,3,5,10,,0,0,3,6,,43
game-1,5/18/2026,7,1,20:47,Emily,EMLIE,0,9,7,0,1,5,8,0,0,0,1,9,7,0,0,5,4,6,0,3,,72
game-1,5/18/2026,7,1,20:47,Mattheus,MAFUS,3,0,6,0,0,0,7,0,0,0,0,7,0,7,5,4,0,6,8,0,,53
mqbakl1mgdoaf,5/18/2026,7,2,21:14,Shelley,SHREKK,10,,0,6,8,1,3,4,0,8,3,0,8,1,1,7,0,8,10,0,1,85
mqbakl1mgdoaf,5/18/2026,7,2,21:14,Emily,EMLIE,6,1,9,0,0,0,0,3,1,5,9,0,0,7,0,5,0,7,10,0,9,72
mqbakl1mgdoaf,5/18/2026,7,2,21:14,Mattheus,MAFUS,0,0,9,0,7,0,6,2,0,10,7,3,7,0,7,0,0,5,7,1,,85
mqbg3x3khhnor,5/19/2026,5,1,22:10,Shelley,SHRIMP,8,0,3,4,0,0,0,8,0,3,6,0,0,0,8,0,0,4,0,0,,44
mqbg3x3khhnor,5/19/2026,5,1,22:10,Mattheus,MATE,0,1,7,0,10,,9,0,0,0,8,0,3,3,8,1,0,0,8,0,,67
mqbg602u35eja,5/19/2026,5,2,22:25,Shelley,SHRIMP,6,0,10,,3,0,0,8,0,0,1,2,10,,6,0,3,2,0,3,,63
mqbg602u35eja,5/19/2026,5,2,22:25,Mattheus,MATE,7,0,4,2,7,0,7,3,8,0,9,1,3,6,0,8,0,9,5,0,,90
mqbg8vjk4eplw,5/20/2026,9,1,21:07,Mattheus,MA,8,0,9,0,0,5,7,0,9,0,2,6,1,0,0,3,0,7,8,0,,65
mqbg8vjk4eplw,5/20/2026,9,1,21:07,Shelley,SHEL,2,0,7,0,0,0,10,,3,0,6,0,10,,7,3,9,1,2,8,8,100
mqbgcb3x2txa6,5/20/2026,9,2,21:25,Mattheus,MA,6,4,9,0,7,0,5,1,6,0,8,0,5,5,9,1,3,4,7,3,9,113
mqbgcb3x2txa6,5/20/2026,9,2,21:25,Shelley,SHEL,7,3,0,6,0,6,0,7,9,0,8,0,9,0,8,1,3,0,6,0,,73
mqbgstglrp7g9,5/21/2026,3,1,21:48,Shelley,WIMBY,3,3,0,6,4,0,0,4,4,0,5,0,0,5,8,0,9,0,0,0,,51
mqbgstglrp7g9,5/21/2026,3,1,21:48,Mattheus,MAP,7,0,7,0,9,0,10,,8,1,1,9,6,0,5,0,5,0,0,6,,89
mqbgvpfh1rdf9,5/21/2026,3,2,22:03,Shelley,WIMBY,6,0,6,0,7,3,3,3,0,1,0,9,0,7,7,0,0,8,8,0,,71
mqbgvpfh1rdf9,5/21/2026,3,2,22:03,Mattheus,MAP,9,0,7,3,7,0,0,0,3,6,6,1,7,1,9,0,9,0,6,0,,81
mqbh9wcolrbjy,5/22/2026,9,1,21:46,Mattheus,MAE,1,9,3,0,0,0,1,0,0,9,2,6,1,3,9,0,8,0,0,3,,58
mqbh9wcolrbjy,5/22/2026,9,1,21:46,Shelley,SHE,0,0,0,0,6,0,0,0,0,0,0,4,6,4,3,7,1,0,10,0,1,46
mqbhxb5crffmx,5/22/2026,9,2,21:59,Mattheus,MAE,0,6,3,7,9,1,0,7,8,0,7,0,7,0,7,0,10,,9,0,,99
mqbhxb5crffmx,5/22/2026,9,2,21:59,Shelley,SHE,6,0,0,0,1,2,7,0,0,1,0,10,0,10,0,8,0,9,0,9,,63
mqbigl03idf48,5/24/2026,12,1,20:16,Emily,EH,0,3,8,0,6,3,3,1,2,6,9,0,10,,4,1,8,2,9,1,7,97
mqbigl03idf48,5/24/2026,12,1,20:16,Mattheus,MEH,0,7,4,0,0,6,0,0,1,0,0,0,9,1,3,1,1,0,0,0,,36
mqbigl03idf48,5/24/2026,12,1,20:16,Shelley,SHE,0,3,7,3,8,0,1,6,0,6,0,6,8,0,6,0,3,0,5,4,,74
mqbikrpo1eyrn,5/24/2026,12,2,20:38,Emily,EH,9,0,9,0,8,0,3,1,3,3,7,0,8,1,7,0,3,5,8,1,,76
mqbikrpo1eyrn,5/24/2026,12,2,20:38,Mattheus,MEH,6,0,4,1,0,0,0,10,5,5,7,1,0,0,3,0,9,0,10,0,0,73
mqbikrpo1eyrn,5/24/2026,12,2,20:38,Shelley,SHE,0,10,7,0,0,8,0,5,0,4,4,0,10,,9,0,8,0,0,0,,81
mqcnlchpycw92,5/25/2026,13,1,20:32,Shelley,SHALL,7,0,9,1,8,1,0,3,0,9,0,0,7,0,1,0,7,3,0,10,4,78
mqcnlchpycw92,5/25/2026,13,1,20:32,Mattheus,MILEF,8,0,7,0,0,7,6,0,0,0,0,0,0,1,0,0,8,0,5,1,,43
mqcnlchpycw92,5/25/2026,13,1,20:32,Emily,EMLOO,9,0,0,8,5,4,9,1,8,0,3,5,6,0,0,2,1,7,9,0,,85
mqcno4yzygi4v,5/25/2026,13,2,20:58,Shelley,SHALL,0,2,3,6,6,1,0,0,9,0,8,0,6,2,9,1,8,2,0,4,,75
mqcno4yzygi4v,5/25/2026,13,2,20:58,Mattheus,MILEF,0,1,0,6,6,4,3,0,0,7,5,4,9,0,3,5,0,1,1,5,,63
mqcno4yzygi4v,5/25/2026,13,2,20:58,Emily,EMLOO,7,2,9,1,9,0,7,3,2,3,0,5,1,8,9,0,9,0,3,3,,92
mqcny2qr0cy7j,5/26/2026,11,1,19:59,Shelley,CHIP,1,6,10,,3,4,1,9,1,0,8,1,7,0,0,7,4,5,0,0,,75
mqcny2qr0cy7j,5/26/2026,11,1,19:59,Mattheus,MERP,3,0,8,0,7,2,0,1,0,3,1,9,7,0,0,7,0,7,0,10,0,72
mqco5i8ce3ki9,5/26/2026,11,2,20:14,Shelley,CHIP,8,0,6,0,0,0,7,2,7,0,0,0,3,0,7,2,4,0,6,0,,52
mqco5i8ce3ki9,5/26/2026,11,2,20:14,Mattheus,MERP,8,0,1,4,9,1,4,4,9,0,5,1,3,3,8,0,7,0,4,0,,75
mqco9wkqijtym,5/27/2026,11,1,20:08,Shelley,MILK,0,7,6,2,3,0,7,0,9,0,8,0,6,0,0,1,6,0,3,4,,62
mqco9wkqijtym,5/27/2026,11,1,20:08,Mattheus,MORK,9,0,0,7,0,0,0,8,0,5,9,1,9,0,6,0,0,9,1,3,,76
mqcoc4yy9wga0,5/27/2026,11,2,20:25,Shelley,MILK,0,0,0,7,4,2,1,0,3,0,1,0,0,0,0,0,3,0,0,0,,21
mqcoc4yy9wga0,5/27/2026,11,2,20:25,Mattheus,MORK,9,0,3,0,8,2,0,8,7,0,3,7,0,7,1,7,7,0,0,0,,69
a4h0fmxzdrk,5/28/2026,11,1,19:51,Mattheus,MAH,7,0,6,3,8,0,4,0,0,7,7,3,1,9,8,0,5,4,4,1,,86
a4h0fmxzdrk,5/28/2026,11,1,19:51,Shelley,SOUP,0,1,6,2,6,0,6,3,2,0,8,1,7,1,1,0,1,4,9,0,,58
nx0v0b5qwy,5/28/2026,11,2,20:05,Mattheus,MAH,4,1,3,0,0,9,10,,7,0,1,8,5,5,8,0,8,0,4,5,,93
nx0v0b5qwy,5/28/2026,11,2,20:05,Shelley,SOUP,2,5,7,0,1,0,0,0,3,6,5,0,9,0,3,0,7,3,1,3,,56
guq0hovhrls,5/29/2026,10,1,23:22,Emily,EEB,8,0,10,,7,1,1,7,10,,10,,4,0,7,2,10,,10,9,1,142
guq0hovhrls,5/29/2026,10,1,23:22,Shelley,SHEEM,5,0,1,2,4,0,8,0,1,8,1,6,5,0,7,0,0,0,0,8,,56
guq0hovhrls,5/29/2026,10,1,23:22,Mattheus,MATTY,0,9,7,0,1,1,10,,8,1,9,0,5,4,7,0,7,1,3,6,,88
jr6bmkis5ko,5/29/2026,10,2,23:47,Emily,EEB,7,3,1,7,6,0,8,2,9,0,9,0,7,1,9,1,7,0,10,9,0,113
jr6bmkis5ko,5/29/2026,10,2,23:47,Shelley,SHEEM,7,2,5,3,0,5,0,5,3,3,3,5,8,2,7,0,8,2,0,0,,75
jr6bmkis5ko,5/29/2026,10,2,23:47,Mattheus,MATTY,0,8,8,0,0,7,1,6,7,2,6,0,7,0,8,0,10,,5,3,,86
dat1wxcahuq,6/1/2026,1,1,22:14,Mattheus,MATH,2,0,8,2,6,1,1,0,9,0,6,4,7,0,7,0,5,1,0,7,,79
dat1wxcahuq,6/1/2026,1,1,22:14,Shelley,SCI,0,0,0,3,8,0,0,3,0,0,0,0,9,0,0,0,6,0,0,0,,29
jdklb2ds1pm,6/1/2026,1,2,22:29,Mattheus,MATH,6,0,0,10,1,0,0,10,9,0,8,0,0,10,8,1,6,0,6,3,,96
jdklb2ds1pm,6/1/2026,1,2,22:29,Shelley,SCI,0,0,4,0,0,2,6,0,0,0,7,0,8,0,8,0,7,0,0,0,,42
peovxbcsao,6/2/2026,9,1,19:52,Mattheus,MATH,9,0,1,5,8,0,0,6,6,4,9,0,1,4,7,1,7,0,7,0,,84
peovxbcsao,6/2/2026,9,1,19:52,Shelley,SUSS,0,0,3,3,0,0,7,3,6,3,8,1,1,0,5,4,1,0,8,0,,59
mmcoe0czuqm,6/2/2026,9,2,20:07,Mattheus,MATH,9,0,6,4,6,4,5,1,3,0,8,0,9,1,3,3,5,0,1,6,,88
mmcoe0czuqm,6/2/2026,9,2,20:07,Shelley,SUSS,8,0,4,0,8,2,8,0,6,2,9,0,0,0,0,0,8,0,8,0,,71
tmfujkx1y9w,6/3/2026,4,1,22:30,Shelley,SHAM,0,0,8,0,9,0,7,0,3,3,0,0,1,4,6,0,5,4,1,8,,59
tmfujkx1y9w,6/3/2026,4,1,22:30,Mattheus,MOP,6,0,7,0,8,0,6,0,9,0,6,0,7,0,8,2,5,0,1,8,,78
8p7pqxm33s,6/3/2026,4,2,22:48,Shelley,SHAN,10,,0,0,9,0,1,0,0,0,8,0,6,0,3,0,9,0,0,0,,46
8p7pqxm33s,6/3/2026,4,2,22:48,Mattheus,MOP,7,0,0,0,6,1,9,0,9,0,1,0,1,4,3,0,0,1,4,1,,47
g3rsl156i84,6/4/2026,7,1,21:42,Mattheus,MOTHB,0,3,7,1,9,1,7,3,0,0,6,1,6,1,3,4,6,4,1,6,,77
g3rsl156i84,6/4/2026,7,1,21:42,Emily,ELERT,0,4,9,1,1,6,8,1,6,0,2,5,8,0,10,,5,1,9,0,,83
g3rsl156i84,6/4/2026,7,1,21:42,Shelley,SHHHH,7,0,1,0,0,3,0,0,8,1,4,1,9,0,0,7,5,5,0,0,,51
2ords7l5sas,6/4/2026,7,2,22:08,Mattheus,MOTHB,7,3,3,7,4,6,0,5,5,3,8,1,9,0,9,1,1,3,8,0,,91
2ords7l5sas,6/4/2026,7,2,22:08,Emily,ELERT,3,4,10,,8,1,7,0,10,,9,1,6,3,9,1,5,4,6,4,7,128
2ords7l5sas,6/4/2026,7,2,22:08,Shelley,SHHHH,0,0,1,8,0,3,0,0,7,0,8,2,8,0,8,0,1,0,7,2,,63
ovsdlyxhyw8,6/5/2026,7,1,23:44,Mattheus,M,8,0,1,6,1,8,1,9,1,0,5,3,6,4,9,1,6,0,4,6,10,105
cxec07jfiq,6/5/2026,7,2,23:51,Mattheus,M,6,3,7,0,7,2,3,7,1,6,0,9,0,10,10,,8,2,3,0,,108
jvkjwlesmci,6/6/2026,1,1,13:42,Mattheus,MARK,0,8,7,2,0,1,5,0,3,6,9,0,3,4,8,0,0,0,5,3,,64
jvkjwlesmci,6/6/2026,1,1,13:42,Shelley,SHEILA,9,0,0,0,3,3,0,0,7,0,8,0,3,0,1,7,10,,8,0,,67
4z2fzeayqbu,6/6/2026,1,2,13:59,Mattheus,MARK,1,5,6,2,0,8,1,0,0,0,5,2,8,0,7,0,4,5,5,1,,60
4z2fzeayqbu,6/6/2026,1,2,13:59,Shelley,SHEILA,0,8,0,3,0,0,6,2,8,0,0,7,8,2,0,0,0,6,7,3,0,60
xwlg8mdsrg,6/7/2026,7,1,21:00,Mattheus,MARLE,8,0,5,5,1,0,5,0,7,0,7,0,3,0,3,0,6,0,8,0,,59
xwlg8mdsrg,6/7/2026,7,1,21:00,Shelley,SHAM,0,0,8,2,3,6,3,1,10,,8,0,4,0,1,0,0,7,8,1,,73
eodb5kew7ky,6/7/2026,7,2,21:15,Mattheus,MARLE,5,5,3,0,6,0,3,0,10,,7,2,8,0,7,3,9,0,1,6,,96
eodb5kew7ky,6/7/2026,7,2,21:15,Shelley,SHAM,8,0,0,6,3,0,0,0,4,6,7,2,0,6,8,0,2,0,8,0,,67
y48w5mgrtto,6/8/2026,1,1,20:28,Emily,ERSH,6,2,9,0,9,1,9,0,7,3,1,9,10,,9,1,5,5,8,1,,138
y48w5mgrtto,6/8/2026,1,1,20:28,Mattheus,MERSH,4,4,4,0,3,4,6,1,10,,1,8,1,9,0,7,5,4,5,5,3,93
y48w5mgrtto,6/8/2026,1,1,20:28,Shelley,SHERSH,9,0,0,6,0,7,0,7,0,8,1,0,0,0,2,7,1,7,5,3,,63
yupf7ug96te,6/8/2026,1,2,20:53,Emily,ERSH,7,0,8,0,9,0,9,1,10,,9,0,7,2,7,0,3,1,6,1,,99
yupf7ug96te,6/8/2026,1,2,20:53,Mattheus,MERS,8,0,5,4,7,0,7,3,0,0,3,5,7,1,7,3,0,10,10,0,0,90
